reference messages,Predicted 1 messages,Predicted 2 messages,Pred1_score,Pred2_score
Trigger DB schema change on application DB update Activity,refactor DatabaseFactory,Fix crash on app level upgrade,3,1
Deletes unused CcLinkParams.Builder.addLinkstamps method.,Remove unused method.,C++: Remove unused linkstamps from CcLinkParams,4,5
Failing test,FakeStream: replace Promise.isEnded with isEnded,Improve FakeStream end event handling,1,1
Improve assertion and busy waiting for RecoveryWhileUnterLoadTests,[TEST] Wait for recovery to complete before starting cluster recovery,test: fix indexing thread to wait for docs to be ready,4,3
remove unused shardingTransactionManagerEngine property.,refactor AbstractConnectionAdapter,refactor ShardingTransactionManager,2,5
Fix do not check for primitive types in interop implementation of WasmMemory. Use a cached interop library instead.,Merge fixes.,Fix float and double conversion to raw long values.,2,3
Fix null pointer exception in play button method,Fix video playback queue animations,Show queue button for current stream in video detail fragment,4,3
UnicastZenPing's PingingRound should prevent opening connections after being closed,UnicastZenPing: ensure open connection before opening it,[Discovery] Remove unused imports,5,2
add a test for time interval,[TEST] Add more time unit tests for filter/histogram facet,add test for stats 5,4,3
refactor demo,refactoring,apollo config demo improvements,4,4
use getPeriodByUid when searching for subsequent period of seek timeline,Add missing @Nullable annotation,Use Timeline.getPeriodByUid instead of window in MediaSource.,1,5
Add more HttpHeaders values,Add support for application/gzip and application/deflate,Remove HttpHeaders.add*() methods from HttpHeaders,4,3
Factor out redundant method,Remove unused method.,removed AMD64AddressValueValue.compareAndSwap*(),3,1
Fix type error in code generation.,AMD64Arithmetic: use crb.asIntConst instead of int,[AMD64] Remove unused imports,1,1
Fix leaked reference in LocalExifThumbnailProducer.buildEncodedImage(),Close PooledByteBuffer in LocalExifThumbnailProducer,Close EncodedImage from PooledByteBuffer,1,3
Deny unix-socket in sandbox script by default. Fixes #1881.,sandbox: remove unneeded code,Remove support for remote unix sockets on darwin sandbox,3,3
"further implementation of parallel transitiv closure computing, bug: Projection dont uses specified key/value transformations",[streaming] TransitiveClosure refactoring,sopremo: fix bug in warshall method of BinarySparseMatrix,5,1
unregister watcher path tree close,Zookeeper path watcher refactoring,"PathTree:unregisterWatcher is now a no-op, so no need to remove the watcherKey array",4,5
BAEL-2514 - Removed unit tests for orElse cases removed from tutorial,Clean up StreamMapUnitTest,BAEL-8251 - StreamMapUnitTest refactor,3,3
Review: Simplify getSortedIndexFromInitialTrackGroup,Use groupIndex instead of track index in TrackSelectionView,Use tag index instead of group index for sorting,3,5
Adding test for edge cases of RestUtils.decodeQueryString(),Added edge cases for RestUtils.decodeQueryString(),RestUtils: Add edge case support for encoded query string parameters,1,1
more small fixes to PEA,PartialEscapeClosure: do not mark usage for alive nodes,Do not add phis for alive nodes in BlockState.,1,1
"sql parser improved mysql 8 support, support json_table, fix #3914",improve sql parser,refactor MySqlJSONTableExpr,4,3
Remove shuffleMode(boolean) usages in ExoPlayer,Update DefaultPlaybackController.java,Rename ActionSetShuffleMode_ENABLED to ActionSet ShuffleMode,3,5
Eliminate allocs - PointD pooling (#1892),Avoid calling PointD.recycleInstance() in API level < 11.,Add touch point support for X axis.,4,1
RateLimiter fix (#2229),refactoring,Update RateLimiterLongRunningUnitTest.java,3,4
[fixed] The start and delta of the alpha value have been initialized with 1 (and -1) and not the actual alpha of the target.,Remove FadeOut.deltaAlpha from AnimationAction.,"[fixed] a bug in FadeOut, when the target's alpha is negative, the fade-out will be applied to the target actor instead of the source actor.",3,4
try and extract store directory also if its wrapped in a compound dir,extractShardId returns null if reader doesn't have a store dir,improved DirectoryFilter to handle compound FileDirectories,3,3
Fix typo.,Fix typo,avoid hard code in OptimizeGuardAnchors.,5,1
"Added Json#copyFields, use in Skin.",Remove unused Skin#readFields.,Added a method to copy fields.,4,3
"setHighlighterPostTags sets pre tags instead of post, closes #386.",Fix typo,add post_tags to search pre_tags,3,5
Allow pluginManager to be queried by superclasses,[FIXED JENKINS-33067] Get PluginManager from JenkinsRecipe.,[FIXED HUDSON-4087] - Use the local PluginManager when possible,4,4
"created getter/setters for primitive fields, to avoid a switch when kind is known",core: fix NPE in InterfaceMethodRefConstant,Add missing Unsafe.getWordFieldVolatile.,1,3
Do not store Jenkins instance references in AdmineWhitelistRule,"[FIXED JENKINS-28436] AdminWhitelistRule should not use write access to the Jenkins file, but it will",[FIXED JENKINS-33067] Avoid NPE in filePathRules.doApprove(),4,1
"am 16a39d79: am 956db7bf: Merge ""Fix AppBarLayout not being scrollable with fitSystemWindows=true"" into mnc-ub-dev",Fix AppBarLayout scroll range calculation.,"Merge ""Fix AppBarLayout enterAlwaysCollapsed with inset window"" into mnc-ub-dev",5,4
Small refactorings and addition of null checks.,Remove unused imports.,Truffle: improve splitting logic.,1,1
Fix a warning in VolleyStreamLoader,[hotfix] Suppress unused warnings in VolleyStreamLoader,Remove unused imports.,5,1
use t_order_item,add status to order item repository,add insert(),2,1
[HUDSON-4941] Log which file had an XML parse error to assist in diagnosis & fix.,fix typo,removed unused import.,1,1
Add missing constructor for GuardPhiNode,Rename GuardPhiNode to GuardPhiNode.values,Truffle: remove unused constructor.,2,4
fix test,minor cleanup,BAEL-1901: Remove basic authentication in testRestTemplateBasicLiveTest,1,4
"[java] Respecting ""webdriver.firefox.logfile"" system property in legacy Firefox driver. Fixes #6649",[java] Deleting unused code,[java] Fixing firefox log file reading from System.out,2,4
Fix crash when single-selecting large media.,Fix bucket selection in media send view.,Remove redundant media send view model.,5,3
Remove useless version override for MongoDBContainer,Fix race condition in ReactiveIntegrationTests,"Polish ""Allow custom Mongo templates to be configured via system property""",1,2
Regenerate LocalTimeProtocol,remove unused code,Rename LocalTimeProtocol.LocalTimes to com.google.protobuf.ByteString,1,4
rename to assertGenerateKeyWithClockCallBack(),Update DefaultKeyGeneratorTest.java,Change test method name to use new method name,2,3
"Don't hide LambdaConversionException and behave like real javac compiled code when a conversion fails. This works anyways, because fallback is allowed to throw any Throwable",Fix typo,Avoid throwing a LambdaConversionException in MethodHandles.Lookup.,1,4
Exclude null requestURI in MHSR.getRequestURL(),Ensure method and requestURI are non-null,Improve MockMvc request handling with null requestURI,5,5
"Truffle/Source: literal source returns null ""path""",Remove unnecessary null check.,Remove unused Source.toString() method,4,3
Fix boxing warning,fix typo,Use Boolean.parseBoolean instead of valueOf,3,1
